institution,Institution,prev_year,revision_year,delta_pcsi,direction,comparability,timing_tier,event_year,usable_documentary_pair,n_pre_panel_years,n_post_panel_years,limited_post_support_flag,confidence,review_note
University of Kansas,University of Kansas,1998.0,2001,-0.0432203991963732,down,P,C,,False,4,6,False,high,"Board of Regents IP policy is followed by the campus IP policy, but the later file's change history records many revisions after its 2001 effective date; the scored text is not a clean 2001 version."
Yale University,Yale University,1998.0,2023,-0.0414390974969047,down,C,B,2023.0,True,2,1,True,high,"Both records are Yale patent policy; the later text states it is effective for inventions made on or after December 3, 2023 but provides no revision history."
Washington State University (WSU),Washington State University,2016.0,2023,0.041025860848549,up,P,B,2023.0,True,4,1,True,medium,Earlier record is the faculty-manual presentation of WSU IP policy; later record is EP38 itself with a June 2023 revision approval date and no predecessor revision chain in the extracted text.
University of Houston,University of Houston,2007.0,2015,-0.0373161161605559,down,N,C,,False,4,6,False,high,Earlier record is the IP policy; later record is a broad University of Houston System/Board governance page rather than the same policy.
University of Washington,University of Washington,2003.0,2015,0.0358778272742735,up,P,C,,False,4,5,False,high,"Both records concern UW patent/IP governance, but the later policy history lists intervening revisions in 2008 and 2013 before 2015."
Georgia Institute of Technology,Georgia Institute of Technology,2002.0,2014,-0.0352802880666429,down,P,C,,False,4,5,False,high,Earlier record is the full Faculty Handbook and later record is an IP-policy section; no reliable adoption date for the IP revision is stated.
Penn State University,Penn State University,2005.0,2013,0.0352388429252688,up,N,A,2013.0,False,4,6,False,high,"Earlier record is RA12 Technology Transfer and Entrepreneurial Activity; later IP01 says it was moved from RA11, so it is not the same predecessor policy. IP01 has a January 2013 effective date."
University of Rhode Island,University of Rhode Island,1986.0,2013,0.0340900249775257,up,N,C,,False,2,1,True,high,"Earlier record is an administrative-procedures chapter; later record is the full University Manual, not a matched governing IP-policy pair."
Princeton University,Princeton University,2001.0,2017,0.0338565325190602,up,P,C,,False,4,6,False,medium,"Both records concern Princeton patent/IP policy and are textually similar, but no usable 2017 adoption/revision date appears in the later document."
Virginia Tech (Virginia Polytechnic Institute),Virginia Tech,2008.0,2013,-0.0324489463439283,down,C,A,2013.0,True,4,4,False,high,"Both are Policy 13000, revision 3 versus revision 4; the later policy is dated June 3, 2013."
Brown University,Brown University,2005.0,2021,-0.0308098093455082,down,P,B,2021.0,True,4,2,False,medium,Earlier policy combines patent/invention and copyright provisions; later record is the Patent and Invention Policy with a 2021 effective date but no predecessor revision chain in the extracted text.
Iowa State University,Iowa State University,1982.0,2000,-0.0303481294374999,down,N,A,2000.0,False,4,6,False,high,Earlier record is the State Board of Regents patent policy; later record is an ISU Research Foundation procedure/amendment document rather than the same governing policy.
Brigham Young University,Brigham Young University,1991.0,2019,-0.0301646481292003,down,C,C,,False,4,5,False,high,"Both records are BYU Intellectual Property Policy and are textually similar, but the later document provides no usable adoption/revision date."
